country1_code;country2_code;incident_year;country1_snt_incidents;contry2_rvd_incidents;country1_to_country2_incidents;incidents_0;positive_goldstein_mentions_0;negative_goldstein_mentions_0;golds_mean_0;golds_std_0;incidents_1;positive_goldstein_mentions_1;negative_goldstein_mentions_1;golds_mean_1;golds_std_1;incidents_2;positive_goldstein_mentions_2;negative_goldstein_mentions_2;golds_mean_2;golds_std_2;incidents_3;positive_goldstein_mentions_3;negative_goldstein_mentions_3;golds_mean_3;golds_std_3;incidents_4;positive_goldstein_mentions_4;negative_goldstein_mentions_4;golds_mean_4;golds_std_4;incidents_5;positive_goldstein_mentions_5;negative_goldstein_mentions_5;golds_mean_5;golds_std_5
RUS;DEU;2020;557;218;69;16;0,7334425913429095;0,26655740865709054;1,1803528391015135;4,891341022345238;15;0,7555533015518815;0,24444669844811848;1,3530682625012678;5,163881038380279;12;0,7932548744071667;0,2067451255928333;2,2322413490251183;4,716452010564538;9;0,8177133655394525;0,1822866344605475;1,9502495974235103;4,2728096744637085;5;0,790388450945009;0,20961154905499096;1,6584385980633556;4,576767579341108;3;0,848339929639402;0,15166007036059806;2,5933597185576076;4,272586509890558
RUS;ESP;2020;557;145;63;15;0,8155737704918032;0,18442622950819673;1,560245901639344;4,055316478748739;12;0,8391891891891892;0,1608108108108108;1,6408108108108106;3,7714982888218085;15;0,6840277777777778;0,3159722222222222;0,6019097222222222;4,132887639635261;8;0,7174056915949703;0,2825943084050298;0,7334215751158174;4,187757693639058;2;0,6716541978387365;0,3283458021612635;0,5548628432495042;4,552490485786393;0;0,7402777777777778;0,25972222222222224;0,7230555555555555;4,570606159316316
RUS;EST;2020;557;82;29;16;0,6744639376218323;0,3255360623781676;0,7549707602339183;4,886176112968331;6;0,6611208406304728;0,33887915936952717;0,8193520140105078;4,920590278304452;4;0,5998233215547704;0,4001766784452297;-0,6373674911660777;4,930417717085464;0;0,6498338870431893;0,3501661129568106;0,14737541528239204;5,1125688475745354;2;0,5845323741007195;0,4154676258992806;-0,39118704941632937;5,1320792737939644;0;0,5142250530785563;0,48577494692144374;-0,7364755838641189;5,166056812744478
RUS;FRA;2020;557;228;78;17;0,7743226041098381;0,22567739589016184;1,9382978723404256;4,715422851582672;15;0,8570187414670473;0,1429812585329527;2,7180215961275906;4,121089219068869;11;0,7961753289785098;0,2038246710214901;2,322664015904572;4,41298607607154;10;0,7943077665219489;0,20569223347805113;2,281234925229136;4,29890528019635;11;0,7697276536312849;0,23027234636871508;1,7861557262859893;4,44125278301459;3;0,8375368007850834;0,1624631992149166;2,6799362119725223;4,338714201051286
PRK;ZAF;2020;151;55;7;2;1,0;0,0;3,685714285714286;3,0385281076903814;1;0,5;0,5;-2,675;7,578711961804591;1;0,9;0,1;2,31;2,820088651088827;1;0,08695652173913043;0,9130434782608695;-6,9391304347826095;3,439127686471721;1;0,6363636363636364;0,36363636363636365;-0,6363636363636362;6,261320326528979;0;0,8888888888888888;0,1111111111111111;-0,4444444444444444;3,8618104882183926
KOR;ARE;2010;22;39;1;1;1,0;0,0;6,582176531616639;1,8899800631443469;0;1,0;0,0;5,83327128442001;1,6862537675072022;0;1,0;0,0;7,802868080632523;0,7835106215543168;0;1,0;0,0;5,875322567259704;1,3751373301339795;0;1,0;0,0;6,973945694045222;1,3192829768982894;0;1,0;0,0;4,102676612549365;0,6143045195261052
RUS;GBR;2020;557;208;62;20;0,6401559454191034;0,3598440545808967;0,5871994801819364;4,4764477752682525;12;0,6769598225710143;0,3230401774289858;1,0349910432483151;4,379245899618669;10;0,4932;0,5068;-0,19038;4,487100250228425;7;0,6849275362318841;0,31507246376811593;1,1497318840579709;4,358951135373923;2;0,6465445145594161;0,3534554854405839;0,6932182771569737;4,7034423762753566;2;0,7574566329714214;0,24254336702857857;1,83288406339698;4,49158905914299
RUS;IND;2020;557;261;47;18;0,8254931714719271;0,17450682852807284;2,063732928679818;3,7287675525967154;10;0,8614762386248737;0,1385237613751264;2,5767441860465117;3,8186182600324763;3;0,8264285714285714;0,17357142857142857;2,163928571428571;4,284997782367916;4;0,835032437442076;0,164967562557924;2,198424467099166;3,7647636253019563;4;0,8478444632290786;0,1521555367709214;2,3174978866077334;4,422507158104813;2;0,867564534231201;0,1324354657687991;2,4564534231200894;4,248288807527427
RUS;ISR;2020;557;175;36;13;0,7058484586574474;0,29415154134255256;0,8473350619418035;4,17288074275614;7;0,6544554455445545;0,3455445544554455;0,4388366336633663;4,442137523230414;5;0,5827394526795895;0,4172605473204105;0,07987457240592925;4,6347701557939995;5;0,7493680989756552;0,2506319010243448;1,1408407609418652;4,085177668669222;1;0,7497262631002659;0,2502737368997341;1,1617237604207022;4,5031508479643225;1;0,6906292616403663;0,30937073835963375;0,5407558932398208;4,991940784607321
RUS;ITA;2020;557;151;49;15;0,788160185722577;0,2118398142774231;2,1512478235635517;4,335658731051284;12;0,8044263775971093;0,1955736224028907;1,5706413730803972;4,0819181602366825;10;0,8461538461538461;0,15384615384615385;2,2027711419015765;3,7612455322452893;6;0,8355690177412376;0,16443098225876243;1,683037646040675;3,877111383058813;2;0,8332559219693451;0,1667440780306549;2,037111007995623;4,343964257307114;0;0,8504968383017163;0,14950316169828365;1,9321138211382114;3,572065330586607
RUS;JPN;2020;557;510;142;25;0,7295298468040148;0,2704701531959852;1,2855256207078711;5,290723045523244;23;0,7827586206896552;0,21724137931034482;1,7488566243194195;4,428130006369406;28;0,8038834951456311;0,19611650485436893;2,1847087378640775;4,377702123950436;30;0,7880467049277656;0,21195329507223432;1,773817534138136;4,479592578069909;19;0,8058252427184466;0,1941747572815534;2,324757281669135;4,2394555366080455;4;0,730968513351933;0,269031486648067;1,5979673176564368;4,510518667535624
KOR;CHN;2020;22;329;11;2;0,7363457760314341;0,2636542239685658;1,4031172233136868;4,4575968547775835;0;0,8181818181818182;0,18181818181818182;2,059251138471918;3,9979800742988463;2;0,8501303214596003;0,14986967854039965;2,4132927888792355;3,6873414640358497;0;0,7728499045864315;0,22715009541356848;1,645568204250839;3,9753242471788823;2;0,7450692242246113;0,25493077577538864;1,5620465621620736;4,302245457696071;3;0,858845016524613;0,14115498347538702;2,5488345799435326;3,7202385352970975
KOR;JPN;2020;22;510;7;1;0,7456568416943198;0,2543431583056803;1,5316025766152643;4,4958673530766315;0;0,6991356184798808;0,30086438152011924;1,3219254843517139;4,342103549821035;0;0,7832218219248585;0,21677817807514152;1,9886052496139985;4,030558115663364;0;0,7913870928388435;0,20861290716115652;1,3712028791021105;4,422206644497523;1;0,8000294074400823;0,19997059255991767;2,1181296869544943;4,2561723280608765;3;0,7856729842595567;0,2143270157404433;2,0129649855444907;3,791354424101795
IRN;JPN;2020;171;510;49;4;0,7948350071736011;0,20516499282639886;1,500286944045911;4,07143528543888;9;0,854344122657581;0,14565587734241908;1,839863713798978;3,5052424085338956;14;0,8335832083958021;0,1664167916041979;2,2403298350824588;4,374836921773013;5;0,8264462809917356;0,17355371900826447;2,305619834710744;4,294975132950648;11;0,8794587945879458;0,12054120541205413;2,9777367772797962;3,8510165485479786;2;0,8782722513089005;0,12172774869109948;2,6808900523560206;3,6376954967641986
RUS;FIN;2020;557;39;11;4;0,7037943696450428;0,2962056303549572;0,822154222766218;4,574431228373495;2;0,7789473684210526;0,22105263157894736;1,0966563467492263;4,051730658338839;2;0,7831414779056814;0,2168585220943186;1,3829186780542146;3,6827093839563916;0;0,7578879587894398;0,2421120412105602;1,072955569864778;4,46530909077941;3;0,667828106852497;0,3321718931475029;0,2709059233241795;5,021999938767899;0;0,6380327868852459;0,3619672131147541;0,3641967213114754;4,590143762953336
RUS;CHN;2020;557;329;41;6;0,6888723270079689;0,3111276729920312;1,109579774121424;4,455721690458333;5;0,7760791366906474;0,2239208633093525;2,0822889057175313;4,375218350739432;1;0,766723393114282;0,23327660688571802;2,13217698651656;4,502056337532338;10;0,7793642910355103;0,2206357089644897;2,005769389951163;4,408214651871975;11;0,8065661047027507;0,19343389529724933;2,444285291812364;4,128873556802899;3;0,83436;0,16564;2,795523999998092;4,1622952760975505
IRN;ISR;2020;171;175;31;5;0,4363066679721923;0,5636933320278077;-1,3280035249192208;4,789537977935948;3;0,45432565168114847;0,5456743483188515;-1,5667397053267853;5,136344852607009;5;0,4282086906529967;0,5717913093470033;-1,76142384899152;5,191838315546194;8;0,5661830557048182;0,4338169442951818;-0,39485939459072183;4,607524324240084;2;0,5272125889545956;0,47278741104540445;-0,7534028261914885;5,122024552192931;2;0,5842543385223158;0,4157456614776842;-0,13768047782476975;4,8377644757231355
