RUS,BRA,2016,0.7678275290215588,0.23217247097844113,1.7186567168132976,4.256068754408844,6
RUS,BRA,2015,0.8515837104072398,0.14841628959276018,2.700542986425339,3.9652882640966896,0
CHN,AUS,2016,0.7637210656573009,0.2362789343426991,1.7030135390613255,4.062685186849905,4
CHN,AUS,2015,0.824977293369664,0.17502270663033606,2.5244777475022704,3.9332822998165016,0
KHM,AFG,2017,0.6666666666666666,0.3333333333333333,-0.8,6.772690258186428,1
KHM,AFG,2016,0.7272727272727273,0.2727272727272727,0.8227272716435521,5.348060975345381,0
KHM,AFG,2015,0.7142857142857143,0.2857142857142857,0.23333333333333345,5.662855861483365,0
RUS,SGP,2017,0.7545454545454545,0.24545454545454545,1.269090909090909,4.368320781064618,3
RUS,SGP,2016,0.84375,0.15625,2.269444444444444,3.6440453290826222,2
RUS,SGP,2015,0.7992277992277992,0.20077220077220076,1.835135135135135,4.121293359926283,0
IRN,ARE,2017,0.6745061147695203,0.3254938852304798,0.5995296331138288,4.18538308587834,6
IRN,ARE,2016,0.7147514262428688,0.2852485737571312,0.8904645476578307,4.080543857467335,0
IRN,ARE,2015,0.7274862960062647,0.2725137039937353,1.195693030540329,4.250074973926928,0
PRK,CHN,2017,0.66148,0.33852,0.6120879999999999,4.553246608767858,3
PRK,CHN,2016,0.661405164278974,0.338594835721026,0.6712790599621578,4.799571271206861,2
PRK,CHN,2015,0.7270681896850121,0.27293181031498787,1.041917618833722,4.762054125731166,0
KHM,AUS,2017,0.42857142857142855,0.5714285714285714,-1.3572981366459627,4.433314678131718,1
KHM,AUS,2016,0.6962332928311057,0.3037667071688943,0.9448359664126704,4.837929268454857,0
KHM,AUS,2015,0.7679180887372014,0.23208191126279865,2.2944254835039817,4.531538159861025,0
RUS,CHN,2017,0.7793642910355103,0.2206357089644897,2.005769389951163,4.408214651871975,10
RUS,CHN,2016,0.8065661047027507,0.19343389529724933,2.4442852918123643,4.128873556802899,11
RUS,CHN,2015,0.83436,0.16564,2.7958599999980924,4.163706240886836,3
RUS,JPN,2017,0.7880467049277656,0.21195329507223432,1.773817534138136,4.479592578069909,30
RUS,JPN,2016,0.8058252427184466,0.1941747572815534,2.324757281669135,4.2394555366080455,19
RUS,JPN,2015,0.730968513351933,0.269031486648067,1.5979673176564368,4.510518667535624,4
RUS,ABW,2018,0.25,0.75,-4.4,5.457105459856901,2
RUS,ABW,2017,1.0,0.0,2.8,0.0,0
IRN,AFG,2018,0.8230315465503976,0.17696845344960246,2.267401897922544,4.236728801381072,4
IRN,AFG,2017,0.7696999268114174,0.2303000731885826,1.812612832398146,4.656412837311794,0
IRN,AFG,2016,0.8140230228733742,0.1859769771266258,2.5155778142115266,4.765865334443088,0
IRN,AFG,2015,0.7716468590831919,0.22835314091680814,1.6446802490096206,4.708735364699442,1
CHN,AUS,2017,0.7676895164471089,0.23231048355289105,1.7169992900528515,3.9952332828287878,7
CHN,AUS,2016,0.7637210656573009,0.2362789343426991,1.7030135390613255,4.062685186849905,4
CHN,AUS,2015,0.824977293369664,0.17502270663033606,2.5244777475022704,3.9332822998165016,0
RUS,USA,2017,0.65296,0.34704,0.5269,4.3945629122814935,19
RUS,USA,2016,0.7044,0.2956,1.0336759998629093,4.562925983227388,15
RUS,USA,2015,0.69284,0.30716,,,4
PRK,USA,2017,0.541,0.459,-0.6917840000000001,4.955444167513543,9
PRK,USA,2016,0.48449929808142256,0.5155007019185774,-1.078527141198739,4.959291625561919,1
PRK,USA,2015,0.5329125338142471,0.4670874661857529,-0.40949804628794706,4.894138727795353,0
CHN,IND,2016,0.7262688468889361,0.27373115311106394,0.9190698662997053,4.329363302698936,11
CHN,IND,2015,0.7873934383880135,0.21260656161198657,1.6969258589511753,3.843688725263739,6
RUS,CAN,2016,0.7727272727272727,0.22727272727272727,1.6462944664738395,4.671809759390052,6
RUS,CAN,2015,0.6994535519125683,0.3005464480874317,0.8562000840689366,4.776131459087477,1
PRK,CHN,2018,0.7999729784503141,0.20002702154968588,1.6821522664324797,3.9248173658208705,3
PRK,CHN,2017,0.66148,0.33852,0.6120879999999999,4.553246608767858,3
PRK,CHN,2016,0.661405164278974,0.338594835721026,0.6712790599621578,4.799571271206861,2
PRK,CHN,2015,0.7270681896850121,0.27293181031498787,1.041917618833722,4.762054125731166,0
CHN,AUS,2018,0.7267007112894401,0.2732992887105599,1.3419387196790078,3.953109050336671,5
CHN,AUS,2017,0.7676895164471089,0.23231048355289105,1.7169992900528515,3.9952332828287878,7
CHN,AUS,2016,0.7637210656573009,0.2362789343426991,1.7030135390613255,4.062685186849905,4
CHN,AUS,2015,0.824977293369664,0.17502270663033606,2.5244777475022704,3.9332822998165016,0
IRN,JPN,2018,0.8335832083958021,0.1664167916041979,2.2403298350824588,4.374836921773013,14
IRN,JPN,2017,0.8264462809917356,0.17355371900826447,2.305619834710744,4.294975132950648,5
IRN,JPN,2016,0.8794587945879458,0.12054120541205413,2.9777367772797962,3.8510165485479786,11
IRN,JPN,2015,0.8782722513089005,0.12172774869109948,2.6808900523560206,3.6376954967641986,2
RUS,JPN,2019,0.7827586206896552,0.21724137931034482,1.7488566243194195,4.428130006369406,23
RUS,JPN,2018,0.8038834951456311,0.19611650485436893,2.1847087378640775,4.377702123950436,28
RUS,JPN,2017,0.7880467049277656,0.21195329507223432,1.773817534138136,4.479592578069909,30
RUS,JPN,2016,0.8058252427184466,0.1941747572815534,2.324757281669135,4.2394555366080455,19
RUS,JPN,2015,0.730968513351933,0.269031486648067,1.5979673176564368,4.510518667535624,4
