Source_country_cameo_code;Source_lat;Source_long;Targer_country_cameo_code;Target_lat;Target_long;Number_incidents
;;;;;;
"
CHN";35;105;NAM;-22;17;3
;;;;;;
"
CHN";35;105;NCL;-21.5;165.5;3
;;;;;;
"
CHN";35;105;NIC;13;-85;3
;;;;;;
"
CHN";35;105;NLD;52.5;5.75;6
;;;;;;
"
CHN";35;105;OMN;21;57;3
;;;;;;
"
CHN";35;105;PAN;9;-80;3
;;;;;;
"
CHN";35;105;PHL;13;122;32
;;;;;;
"
CHN";35;105;PNG;-6;147;3
;;;;;;
"
CHN";35;105;PRY;-23;-58;3
;;;;;;
"
CHN";35;105;QAT;25.5;51.25;5
;;;;;;
"
CHN";35;105;RWA;-2;30;3
;;;;;;
"
CHN";35;105;SEN;14;-14;3
;;;;;;
"
CHN";35;105;SLV;13.8333;-88.9167;3
;;;;;;
"
CHN";35;105;SRB;44;21;5
;;;;;;
"
CHN";35;105;SVK;48.6667;19.5;4
;;;;;;
"
CHN";35;105;SVN;46;15;3
;;;;;;
"
CHN";35;105;TCD;15;19;3
;;;;;;
"
CHN";35;105;TTO;11;-61;3
;;;;;;
"
CHN";35;105;UGA;1;32;3
;;;;;;
"
CHN";35;105;UZB;41;64;6
;;;;;;
"
CHN";35;105;ZAF;-29;24;11
;;;;;;
"
CHN";35;105;ZMB;-15;30;3
;;;;;;
"
CHN";35;105;ZWE;-20;30;3
;;;;;;
"
CHN";35;105;KOR;37;127.5;0
;;;;;;
"
CHN";35;105;MMR;22;98;17
;;;;;;
"
CHN";35;105;NPL;28;84;10
;;;;;;
"
CHN";35;105;VNM;16;106;3
;;;;;;
"
CHN";35;105;MRT;20;-12;5
;;;;;;
"
CHN";35;105;YEM;15;48;3
;;;;;;
"
CHN";35;105;TUN;34;9;5
;;;;;;
"
CHN";35;105;TJK;39;71;6
;;;;;;
"
CHN";35;105;SUR;4;-56;3
;;;;;;
"
CHN";35;105;MAR;32;-5;3
;;;;;;
"
CHN";35;105;SDN;15;30;6
;;;;;;
"
CHN";35;105;MEA;35.8333;14.5833;0
;;;;;;
"
CHN";35;105;SAS;20;77;0
;;;;;;
"
CHN";35;105;ASM;-14.3333;-170;3
;;;;;;
"
CHN";35;105;ATG;17.05;-61.8;3
;;;;;;
"
CHN";35;105;BDI;-3.5;30;3
;;;;;;
"
CHN";35;105;BEN;9.5;2.25;3
;;;;;;
"
CHN";35;105;BFA;13;-2;3
;;;;;;
"
CHN";35;105;BLZ;17.25;-88.75;3
;;;;;;
"
CHN";35;105;BTN;27.5;90.5;3
;;;;;;
"
CHN";35;105;CAF;7;21;3
;;;;;;
"
CHN";35;105;COM;-12.1667;44.25;3
;;;;;;
"
CHN";35;105;CZE;49.75;15.5;3
;;;;;;
"
CHN";35;105;DJI;11.5;43;3
;;;;;;
"
CHN";35;105;DZA;28;3;3
;;;;;;
"
CHN";35;105;ERI;15;39;3
;;;;;;
"
CHN";35;105;ETH;8;38;3
;;;;;;
"
CHN";35;105;FJI;-18;175;3
;;;;;;
"
CHN";35;105;GMB;13.4667;-16.5667;3
;;;;;;
"
CHN";35;105;GNB;12;-15;3
;;;;;;
"
CHN";35;105;GRD;12.1167;-61.6667;3
;;;;;;
"
CHN";35;105;GUM;13.4667;144.7833;3
;;;;;;
"
CHN";35;105;GUY;5;-59;3
;;;;;;
"
CHN";35;105;HTI;19;-72.4167;3
;;;;;;
"
CHN";35;105;KGZ;41;75;3
;;;;;;
"
CHN";35;105;KIR;1.4167;173;3
;;;;;;
"
CHN";35;105;KNA;17.3333;-62.75;3
;;;;;;
"
CHN";35;105;LAO;18;105;3
;;;;;;
"
CHN";35;105;LCA;13.8833;-61.1333;3
;;;;;;
"
CHN";35;105;LSO;-29.5;28.5;3
;;;;;;
"
CHN";35;105;MCO;43.7333;7.4;3
;;;;;;
"
CHN";35;105;MDA;47;29;3
;;;;;;
"
CHN";35;105;MHL;9;168;3
;;;;;;
"
CHN";35;105;MNP;15.2;145.75;3
;;;;;;
"
CHN";35;105;MWI;-13.5;34;3
;;;;;;
"
CHN";35;105;NRU;-0.5333;166.9167;3
;;;;;;
"
CHN";35;105;PLW;7.5;134.5;3
;;;;;;
"
CHN";35;105;PRI;18.25;-66.5;3
;;;;;;
"
CHN";35;105;SLB;-8;159;3
;;;;;;
"
CHN";35;105;SLE;8.5;-11.5;3
;;;;;;
"
CHN";35;105;SMR;43.7667;12.4167;3
;;;;;;
"
CHN";35;105;SOM;10;49;3
;;;;;;
"
CHN";35;105;STP;1;7;3
;;;;;;
"
CHN";35;105;SYC;-4.5833;55.6667;3
;;;;;;
"
CHN";35;105;SYR;35;38;3
;;;;;;
"
CHN";35;105;TGO;8;1.1667;3
;;;;;;
"
CHN";35;105;TKM;40;60;5
;;;;;;
"
CHN";35;105;TMP;-8.556856;125.56031;3
;;;;;;
"
CHN";35;105;TON;-20;-175;3
;;;;;;
"
CHN";35;105;TUV;-8;178;3
;;;;;;
"
CHN";35;105;VCT;13.25;-61.2;3
;;;;;;
"
CHN";35;105;VUT;-16;167;3
;;;;;;
"
CHN";35;105;WSM;-13.5833;-172.3333;3
;;;;;;
"
CHN";35;105;GZS;32;35.25;0
;;;;;;
"
CHN";35;105;BRN;4.5;114.6667;0
;;;;;;
"
IRN";32;53;CHN;35;105;11
;;;;;;
"
IRN";32;53;IRN;32;53;0
;;;;;;
"
IRN";32;53;SAU;25;45;36
;;;;;;
"
IRN";32;53;JPN;36;138;49
;;;;;;
"
IRN";32;53;RUS;60;100;1
;;;;;;
"
IRN";32;53;MLI;17;-4;15
;;;;;;
"
IRN";32;53;USA;38;-97;33
;;;;;;
"
IRN";32;53;PRK;37;127.5;0
;;;;;;
"
IRN";32;53;AUS;-27;133;17
;;;;;;
"
IRN";32;53;BGD;24;90;2
;;;;;;
"
IRN";32;53;FRA;46;2;8
;;;;;;
"
IRN";32;53;IND;20;77;16
;;;;;;
"
IRN";32;53;MEX;23;-102;0
;;;;;;
"
IRN";32;53;NER;16;8;0
;;;;;;
"
IRN";32;53;NGA;10;8;0
;;;;;;
"
IRN";32;53;NOR;62;10;4
;;;;;;
"
IRN";32;53;PER;-10;-76;0
;;;;;;
"
IRN";32;53;POL;52;20;3
;;;;;;
"
IRN";32;53;URY;-33;-56;0
;;;;;;
"
IRN";32;53;ESP;40;-4;4
;;;;;;
"
IRN";32;53;SGP;1.3667;103.8;5
;;;;;;
"
IRN";32;53;ABW;12.5;-69.9667;0
;;;;;;
"
IRN";32;53;ROM;46;25;3
;;;;;;
"
IRN";32;53;AFG;33;65;6
;;;;;;
"
IRN";32;53;DEU;51;9;7
;;;;;;
"
IRN";32;53;IRQ;33;44;11
;;;;;;
"
IRN";32;53;ISR;31.5;34.75;31
;;;;;;
"
IRN";32;53;UKR;49;32;1
;;;;;;
"
IRN";32;53;THA;15;100;3
;;;;;;
"
IRN";32;53;HKG;22.25;114.1667;5
;;;;;;
"
IRN";32;53;IDN;-5;120;3
;;;;;;
"
IRN";32;53;LKA;7;81;1
;;;;;;
"
IRN";32;53;PAK;30;70;9
;;;;;;
"
IRN";32;53;BRA;-10;-55;3
;;;;;;
"
IRN";32;53;CAN;60;-95;10
;;;;;;
"
IRN";32;53;GEO;42;43.5;3
;;;;;;
"
IRN";32;53;MYS;2.5;112.5;5
;;;;;;
"
IRN";32;53;NZL;-41;174;3
;;;;;;
"
IRN";32;53;TUR;39;35;19
;;;;;;
"
IRN";32;53;KHM;13;105;1
;;;;;;
"
IRN";32;53;CUB;21.5;-80;1
;;;;;;
"
IRN";32;53;BLR;53;28;0
;;;;;;
"
IRN";32;53;KAZ;48;68;0
;;;;;;
"
IRN";32;53;SWE;62;15;3
;;;;;;
"
IRN";32;53;COL;4;-72;0
;;;;;;
"
IRN";32;53;PRT;39.5;-8;0
;;;;;;
"
IRN";32;53;AGO;-12.5;18.5;0
;;;;;;
"
IRN";32;53;ALB;41;20;0
;;;;;;
"
IRN";32;53;AND;42.5;1.5;0
;;;;;;
"
IRN";32;53;ARE;24;54;13
;;;;;;
"
IRN";32;53;ARG;-34;-64;0
;;;;;;
"
IRN";32;53;ARM;40;45;0
;;;;;;
"
IRN";32;53;AUT;47.3333;13.3333;2
;;;;;;
"
IRN";32;53;AZE;40.5;47.5;5
;;;;;;
"
IRN";32;53;BEL;50.8333;4;4
;;;;;;
"
IRN";32;53;BGR;43;25;0
;;;;;;
"
IRN";32;53;BHR;26;50.55;6
;;;;;;
"
IRN";32;53;BHS;24.25;-76;0
;;;;;;
"
IRN";32;53;BIH;44;18;0
;;;;;;
"
IRN";32;53;BMU;32.3333;-64.75;0
;;;;;;
"
IRN";32;53;BRB;13.1667;-59.5333;0
;;;;;;
"
IRN";32;53;BWA;-22;24;0
;;;;;;
"
IRN";32;53;CHE;47;8;4
;;;;;;
"
IRN";32;53;CHL;-30;-71;0
;;;;;;
"
IRN";32;53;CMR;6;12;0
;;;;;;
"
IRN";32;53;COD;-1;15;0
;;;;;;
"
IRN";32;53;CRI;10;-84;0
;;;;;;
"
IRN";32;53;CYM;19.5;-80.5;0
;;;;;;
"
IRN";32;53;CYP;35;33;0
;;;;;;
"
IRN";32;53;DMA;15.4167;-61.3333;0
;;;;;;
"
IRN";32;53;DNK;56;10;0
;;;;;;
"
IRN";32;53;DOM;19;-70.6667;0
;;;;;;
"
IRN";32;53;ECU;-2;-77.5;0
;;;;;;
"
IRN";32;53;EGY;27;30;3
;;;;;;
"
IRN";32;53;EST;59;26;2
;;;;;;
"
IRN";32;53;FIN;64;26;3
;;;;;;
"
IRN";32;53;GAB;-1;11.75;0
;;;;;;
"
IRN";32;53;GBR;54;-2;17
;;;;;;
"
IRN";32;53;GHA;8;-2;0
;;;;;;
"
IRN";32;53;GIB;36.1833;-5.3667;0
;;;;;;
"
IRN";32;53;GIN;11;-10;0
;;;;;;
"
IRN";32;53;GNQ;2;10;0
;;;;;;
"
IRN";32;53;GRC;39;22;3
;;;;;;
"
IRN";32;53;GTM;15.5;-90.25;0
;;;;;;
"
IRN";32;53;HND;15;-86.5;0
;;;;;;
"
IRN";32;53;HRV;45.1667;15.5;0
;;;;;;
"
IRN";32;53;HUN;47;20;1
;;;;;;
"
IRN";32;53;IMY;54.085117;-4.635865;0
;;;;;;
"
IRN";32;53;IRL;53;-8;3
;;;;;;
"
IRN";32;53;ISL;65;-18;0
;;;;;;
"
IRN";32;53;ITA;42.8333;12.8333;4
;;;;;;
"
IRN";32;53;JAM;18.25;-77.5;0
;;;;;;
"
IRN";32;53;JOR;31;36;7
;;;;;;
"
IRN";32;53;KEN;1;38;0
;;;;;;
"
IRN";32;53;KWT;29.3375;47.6581;8
